molecular_weight,num_atoms,num_bonds,num_rings,formal_charge,cid,smiles
137.084063972,21,21,1,0,1000,[H]O[C@@]([H])(c1c([H])c([H])c([H])c([H])c1[H])C([H])([H])N([H])[H]
121.08914935199999,20,20,1,0,1001,[H]c1c([H])c([H])c(C([H])([H])C([H])([H])N([H])[H])c([H])c1[H]
176.058577496,21,22,2,0,1002,[H]c1c([H])c([H])c([C@@]2([H])C(=O)N([H])C(=O)N2[H])c([H])c1[H]
96.96961875391001,7,6,0,-1,1003,[H]OP(=O)([O-])O[H]
97.97689520600001,8,7,0,0,1004,[H]OP(=O)(O[H])O[H]
167.98237451000003,15,14,0,0,1005,[H]OC(=O)C(OP(=O)(O[H])O[H])=C([H])[H]
214.01221183791,22,21,0,-1,1006,[H]O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@]([H])(C(=O)[O-])N([H])[H]
215.01948829,23,22,0,0,1007,[H]OC(=O)[C@@]([H])(N([H])[H])[C@]([H])(O[H])C([H])([H])OP(=O)(O[H])O[H]
339.04676565800037,36,37,2,0,1010,[H]OC(=O)c1nc([H])n([C@@]2([H])O[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])[C@@]([H])(O[H])[C@]2([H])O[H])c1N([H])[H]
366.0576646900004,39,40,2,0,1011,[H]O[C@]1([H])[C@@]([H])(O[H])[C@]([H])(C([H])([H])OP(=O)(O[H])O[H])O[C@@]1([H])n1c([H])nc(C(=O)N([H])[H])c1N([H])C([H])=O
184.07332101008998,26,25,0,1,1014,[H]OP(=O)(O[H])OC([H])([H])C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]
141.019094366,16,15,0,0,1015,[H]OP(=O)(O[H])OC([H])([H])C([H])([H])N([H])[H]
199.02457367000002,22,21,0,0,1016,[H]OC(=O)[C@@]([H])(N([H])[H])[C@]([H])(OP(=O)(O[H])O[H])C([H])([H])[H]
166.026608672,18,18,1,0,1017,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1C(=O)O[H]
269.11825656000036,38,38,1,0,2078,[H]c1c([H])c(C([H])([H])C([H])([H])[H])c(N(C(=O)C([H])([H])Cl)C([H])([H])OC([H])([H])[H])c(C([H])([H])C([H])([H])[H])c1[H]
180.042258736,21,21,1,0,2244,[H]OC(=O)c1c([H])c([H])c([H])c([H])c1OC(=O)C([H])([H])[H]
78.046950192,12,12,1,0,241,[H]c1c([H])c([H])c([H])c([H])c1[H]
194.08037556,24,25,2,0,2519,[H]c1nc2c(c(=O)n(C([H])([H])[H])c(=O)n2C([H])([H])[H])n1C([H])([H])[H]
381.0758823480004,40,42,3,0,2662,[H]c1c([H])c(C([H])([H])[H])c([H])c([H])c1-c1c([H])c(C(F)(F)F)nn1-c1c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c1[H]
228.115029752,33,34,2,0,4409,[H]c1c(C([H])([H])C([H])([H])C(=O)C([H])([H])[H])c([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c2c1[H]
235.05123962,26,28,3,0,5000,[H]c1c([H])c(Cl)c2c(c1[H])N([H])C1=NC(=O)[C@]([H])(C([H])([H])[H])N1C2([H])[H]
